,Unnamed: 0.1,Unnamed: 0,Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period,t,o,tao,Cubic,Tetra,Ortho,Hex,PBE,HSE,Expt,Decomp(PBE),Decomp(HSE),Band gap(HSE-mf1),A_En_mull,B_En_mull,X_En_mull,x(S),CBM,VBM,n_abs(%),n_cu(%),n_STH(%)
762,21362,21362,7922,MABa0.250Ca0.125Ge0.125Pb0.375Sn0.125I3,0.0,0.0,0.0,1.0,0.0,0.13,0.0,0.25,0.13,0.13,0.38,0.0,0.0,1.0,2.17,267.0,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73.0,7.0,1.18,2245.63,829.32,6.93,140.96,38.88,651.6,9.73,199.18,1.72,57.5,5.38,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.914217938989708,0.5363636363636363,3.883028950672287,0,1,0,0,0,1,0,0.0777374815614998,0.0032689785073253,2.2572345096500026,4.845206607,3.578170932,6.755968955,5.566821090689412,-0.001796164135589251,2.2554383455144134,40.2,32.84,13.201680000000001
1634,49891,49891,18251,CsGeCl2.500I0.500,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.833,0.0,0.167,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.87,3107.0,1211.5,5.32,72.61,120.0,762.1,31.8,334.3,2.01,32.0,4.0,1.88,275.57,207.92,3.5,50.69,339.88,1210.65,3.97,11.98,3.08,23.0,3.33,0.9308096537801098,0.4627659574468085,4.046309622007811,0,0,1,0,0,1,0,-0.4076318245550003,-0.2486812413850001,2.334849818925005,2.1826697585,4.571174515,8.035079039500001,5.530918493350094,-0.07650641611240894,2.2583434028125957,36.64,36.03,13.201392
2661,66734,66734,22776,Cs0.875FA0.125GeBr3,0.0,0.0,0.88,0.0,0.13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.84,865.88,308.1,1.77,121.92,40.88,434.88,2.64,62.9,1.01,59.5,6.25,0.87,3107.0,1211.5,5.32,72.61,120.0,762.1,31.8,334.3,2.01,32.0,4.0,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.9494720030066712,0.4438775510204081,4.0764576591109885,0,0,0,1,0,1,0,-0.3323413069249997,-0.349084652182499,2.4400069063749976,2.465459684,4.571174515,7.589258675,5.4765209684809975,-0.18348248470650175,2.256524421668496,31.98,41.28,13.201344
2745,66888,66888,22903,CsGeBr0.250Cl2.125I0.625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.708,0.083,0.208,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.87,3107.0,1211.5,5.32,72.61,120.0,762.1,31.8,334.3,2.01,32.0,4.0,1.9,292.39,224.68,3.56,58.21,335.64,1191.27,4.33,12.81,3.04,26.0,3.5,0.9291944705844882,0.4578947368421053,4.069298127754938,0,0,0,1,0,1,0,-0.3893508282924995,-0.284212381349999,2.4389646299000014,2.1826697585,4.571174515,7.9126766564999995,5.480210217234022,-0.17927209771597874,2.2596925321840224,31.98,41.28,13.201344
380,15894,15894,5582,CsGe0.625Sn0.250Sr0.125Cl3,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.63,0.25,0.0,1.0,0.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.99,2867.75,1013.72,5.47,86.01,84.25,722.15,22.7,298.64,1.86,37.25,4.38,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17.0,3.0,0.8965103832900869,0.5469613259668508,3.944908606008352,1,0,0,0,0,1,0,-0.3402203419650014,-0.1628931969617501,2.3257998612000024,2.1826697585,4.17888576,8.290921785,5.535685351902789,-0.06721457869721292,2.2585852825027892,37.05,35.63,13.200915
2632,66539,66539,22681,Cs0.625K0.125MA0.125Rb0.125GeBr3,0.13,0.13,0.63,0.13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.75,872.63,292.22,1.56,102.64,41.42,453.33,2.66,63.58,1.02,50.5,5.75,0.87,3107.0,1211.5,5.32,72.61,120.0,762.1,31.8,334.3,2.01,32.0,4.0,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.9269845081986188,0.4438775510204081,4.131050683452846,0,0,0,1,0,1,0,-0.3225141217625,-0.3349767301199995,2.3563138636999983,2.5638687125,4.571174515,7.589258675,5.519558368609841,-0.09859856324015825,2.2577153004598403,35.63,37.05,13.200915
1670,49929,49929,18289,CsGeBr0.500Cl2.250I0.250,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.167,0.083,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.87,3107.0,1211.5,5.32,72.61,120.0,762.1,31.8,334.3,2.01,32.0,4.0,1.87,272.82,205.68,3.34,50.48,340.31,1212.34,3.94,11.85,3.08,23.0,3.33,0.931626087621692,0.4652406417112299,4.0348153691342485,0,0,1,0,0,1,0,-0.408994174732501,-0.2625916400674998,2.3223854946250007,2.1826697585,4.571174515,8.046065197499999,5.535454623386391,-0.06573812392610967,2.256647370698891,37.05,35.63,13.200915
428,16141,16141,5798,CsCa0.125Ge0.500Sn0.375Cl3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.5,0.38,0.0,1.0,0.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.99,2851.63,934.17,5.6,85.83,85.88,720.5,19.67,295.37,1.86,37.25,4.38,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17.0,3.0,0.8965103832900869,0.5469613259668508,3.944908606008352,1,0,0,0,0,1,0,-0.3579674807674993,-0.2061428671675005,2.3218277213500063,2.1826697585,4.178782117,8.290921785,5.535657892873671,-0.06525596780133291,2.2565717535486733,37.05,35.63,13.200915
57,2312,2312,1396,MACa0.250Ge0.375Pb0.125Sn0.125Sr0.125I3,0.0,0.0,0.0,1.0,0.0,0.25,0.13,0.0,0.38,0.13,0.13,0.0,0.0,1.0,2.17,267.0,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73.0,7.0,1.03,2423.63,1000.78,5.03,88.94,13.88,679.94,16.58,239.68,1.66,38.25,4.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.9566738804288584,0.4681818181818181,3.9631976340159136,1,0,0,0,0,1,0,0.0604882717610024,0.043456660880995,2.2653711542749897,4.845206607,3.5954793130000002,6.755968955,5.572196282097654,-0.0004892950398416307,2.264881859235148,39.82,32.87,13.088833999999999
534,16731,16731,5922,CsBa0.125Ge0.625Sn0.250Cl3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.63,0.25,0.0,1.0,0.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.01,2920.63,1008.72,5.6,92.22,98.75,716.32,22.68,299.06,1.86,39.5,4.5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17.0,3.0,0.8901521536213628,0.5580110497237569,3.959319717363868,1,0,0,0,0,1,0,-0.2660973691500001,-0.0947091336852497,2.3132814046000028,2.1826697585,4.2238150005,8.290921785,5.547537859120207,-0.04910284317979463,2.2641785614202083,37.45,34.95,13.088775000000004
2504,62787,62787,21703,FABa0.375Ge0.375Pb0.125Sn0.125I3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.38,0.38,0.13,0.13,0.0,0.0,1.0,2.53,319.0,354.0,1.1,45.06,8.6,849.1,6.5,29.0,2.57,91.0,8.0,1.15,2556.75,968.28,5.67,119.47,54.38,652.39,16.43,236.47,1.62,49.5,5.13,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.998392559705185,0.5227272727272726,3.7033021664207366,0,0,0,1,0,1,0,0.0823664045452002,0.0293054448153267,2.4072664044749965,4.444730055,3.6625881555,6.755968955,5.497171451675138,-0.14646175056236066,2.260804653912636,33.43,39.15,13.087845
1619,49858,49858,18219,CsGe0.625Pb0.125Sn0.125Sr0.125Cl3,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.63,0.13,0.13,1.0,0.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.99,2761.13,1025.66,5.98,97.07,82.88,723.01,22.4,284.58,1.91,41.25,4.5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17.0,3.0,0.8965103832900869,0.5469613259668508,3.944908606008352,0,0,1,0,0,1,0,-0.3711323231125009,-0.2534751653125003,2.3328990699000034,2.1826697585,4.1762428635,8.290921785,5.5349849764060455,-0.07146455854395661,2.261434511356047,36.64,35.72,13.087808
1429,38125,38125,14472,MABa0.250Ge0.125Pb0.500Sr0.125I3,0.0,0.0,0.0,1.0,0.0,0.0,0.13,0.25,0.13,0.0,0.5,0.0,0.0,1.0,2.17,267.0,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73.0,7.0,1.22,2126.25,832.51,7.55,157.96,36.0,647.42,9.39,182.9,1.76,63.75,5.63,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.903525331516144,0.5545454545454545,3.89194286412562,0,0,1,0,0,1,0,0.0634537783936749,-0.0324292219935382,2.2901894139500025,4.845206607,3.5415849529999996,6.755968955,5.555390349546027,-0.029704357428974815,2.260485056521028,38.64,33.87,13.087368
2388,61774,61774,21517,FABa0.125Ca0.250Ge0.375Sn0.250I3,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.13,0.38,0.25,0.0,0.0,0.0,1.0,2.53,319.0,354.0,1.1,45.06,8.6,849.1,6.5,29.0,2.57,91.0,8.0,1.04,2583.13,983.84,4.66,84.09,29.75,673.25,16.86,254.15,1.6,36.5,4.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,1.0322886033988796,0.4727272727272727,3.851825748350631,0,0,0,1,0,1,0,0.1005794486774995,0.0643598279718474,2.4263878355500053,4.444730055,3.6430514499999997,6.755968955,5.491294377970984,-0.16189953980401883,2.2644882957459864,32.41,40.38,13.087157999999999
