,Unnamed: 0.1,Unnamed: 0,Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period,t,o,tao,Cubic,Tetra,Ortho,Hex,PBE,HSE,Expt,Decomp(PBE),Decomp(HSE),Band gap(HSE-mf1),A_En_mull,B_En_mull,X_En_mull,x(S),CBM,VBM,n_abs(%),n_cu(%),n_STH(%)
293,27185,27185,10042,FABa0.125Ge0.125Sn0.500Sr0.250I3,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.13,0.13,0.5,0.0,0.0,0.0,1.0,2.53,319.0,354.0,1.1,45.06,8.6,849.1,6.5,29.0,2.57,91.0,8.0,1.18,2499.88,789.75,5.4,107.5,27.0,649.8,10.63,238.72,1.58,45.5,5.0,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.9895310872817664,0.5363636363636363,3.675543691296155,0,1,0,0,0,1,0,0.1266490443725,0.0817437740242249,2.507467493124995,4.444730055,3.5072791199999998,6.755968955,5.449739346224019,-0.24399440033847863,2.2634730927865165,28.96,41.89,12.131344000000002
1129,67024,67024,23030,CsCa0.125Ge0.250Sn0.625Cl3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.25,0.63,0.0,1.0,0.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.06,2793.88,757.58,6.09,97.36,86.13,707.13,13.52,284.39,1.85,41.75,4.63,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17.0,3.0,0.8746442763805726,0.5856353591160222,4.019604800418667,0,0,0,1,0,1,0,-0.3487169782224999,-0.2754031863850006,2.461188622250006,2.1826697585,4.110792309,8.290921785,5.517526201098191,-0.15306811002681275,2.3081205122231934,30.89,39.27,12.130503000000001
1063,66939,66939,22954,CsGeBrCl1.875I0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.625,0.333,0.042,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.87,3107.0,1211.5,5.32,72.61,120.0,762.1,31.8,334.3,2.01,32.0,4.0,1.88,279.17,212.37,3.25,54.08,338.5,1203.92,4.09,12.15,3.07,24.5,3.42,0.9308096537801098,0.4627659574468085,4.046309622007811,0,0,0,1,0,1,0,-0.4580505167700007,-0.3252476146724992,2.4629248878499963,2.1826697585,4.571174515,7.993051803,5.513542710668406,-0.15791973325659248,2.305005154593404,30.89,39.27,12.130503000000001
227,20037,20037,7459,MABa0.125Sn0.625Sr0.250I3,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.13,0.0,0.63,0.0,0.0,0.0,1.0,2.17,267.0,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73.0,7.0,1.21,2471.0,701.45,5.65,113.27,27.13,643.11,7.55,233.23,1.57,47.75,5.13,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.906174965919417,0.5499999999999999,3.8884908872808177,0,1,0,0,0,1,0,-0.0118580720296515,-0.0492735738839586,2.423883253500007,4.845206607,3.473284216,6.755968955,5.533795576183063,-0.11814605056694139,2.3057372029330656,32.59,37.22,12.129998
208,18367,18367,6879,MAGe0.250Sn0.375Sr0.375I3,0.0,0.0,0.0,1.0,0.0,0.0,0.38,0.0,0.25,0.38,0.0,0.0,0.0,1.0,2.17,267.0,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73.0,7.0,1.12,2475.88,883.05,5.02,95.53,12.38,662.31,13.73,243.8,1.59,41.0,4.75,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.930739949935305,0.5090909090909091,3.893684634921924,0,1,0,0,0,1,0,0.0188295483421803,-0.0184539888153603,2.409614250025003,4.845206607,3.4963447834999997,6.755968955,5.541124368969138,-0.10368275604336397,2.305931493981639,33.26,36.47,12.129921999999999
1023,66899,66899,22914,CsGeBr0.375Cl2.250I0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.125,0.125,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.87,3107.0,1211.5,5.32,72.61,120.0,762.1,31.8,334.3,2.01,32.0,4.0,1.88,278.05,210.71,3.42,52.44,339.09,1206.86,4.04,12.1,3.07,23.75,3.38,0.9308096537801098,0.4627659574468085,4.046309622007811,0,0,0,1,0,1,0,-0.4402620423024995,-0.3067500467899999,2.4521750780750025,2.1826697585,4.571174515,8.0113447925,5.521110262973334,-0.14497727606416766,2.307197802010835,31.3,38.75,12.12875
225,19448,19448,7441,MACa0.375Ge0.250Sn0.375I3,0.0,0.0,0.0,1.0,0.0,0.38,0.0,0.0,0.25,0.38,0.0,0.0,0.0,1.0,2.17,267.0,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73.0,7.0,1.02,2514.13,909.3,4.65,77.7,16.88,677.42,13.85,250.47,1.61,34.25,4.38,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.9596449173246,0.4636363636363636,3.9749602726604536,0,1,0,0,0,1,0,0.0273307191456489,-0.005164848164006,2.3503118700499983,4.845206607,3.597966745,6.755968955,5.572967062521553,-0.04218887250344694,2.308122997546551,35.83,33.85,12.128454999999999
221,19282,19282,7395,MACa0.250Ge0.375Sn0.250Sr0.125I3,0.0,0.0,0.0,1.0,0.0,0.25,0.13,0.0,0.38,0.25,0.0,0.0,0.0,1.0,2.17,267.0,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73.0,7.0,1.02,2530.25,988.84,4.53,77.88,15.25,679.08,16.88,253.74,1.61,34.25,4.38,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.9596449173246,0.4636363636363636,3.9749602726604536,0,1,0,0,0,1,0,0.0477752302503729,0.0195298637312157,2.345789644299999,4.845206607,3.5981222095,6.755968955,5.573015222141983,-0.039879600008017047,2.305910044291982,36.0,33.69,12.1284
815,61789,61789,21520,FABa0.125Ca0.250Ge0.500Sn0.125I3,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.13,0.5,0.13,0.0,0.0,0.0,1.0,2.53,319.0,354.0,1.1,45.06,8.6,849.1,6.5,29.0,2.57,91.0,8.0,1.01,2612.0,1072.14,4.41,78.33,29.63,679.94,19.93,259.64,1.61,34.25,4.38,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,1.0419361604399906,0.459090909090909,3.9061227948795114,0,0,0,1,0,1,0,0.11173841193625,0.07972519798106,2.493645661474994,4.444730055,3.6770981755000003,6.755968955,5.501520177980706,-0.18530265275679136,2.3083430087182024,29.61,40.96,12.128255999999999
681,50672,50672,18518,CsBa0.125Ge0.500Sn0.375Cl3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.5,0.38,0.0,1.0,0.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.04,2891.75,920.42,5.85,97.99,98.88,709.64,19.6,293.56,1.85,41.75,4.63,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17.0,3.0,0.8807821309516644,0.574585635359116,3.991196062298577,0,0,1,0,0,1,0,-0.2817091832799994,-0.18197330703875,2.413411814700005,2.1826697585,4.189871918,8.290921785,5.538592924153093,-0.10811298319690987,2.3052988315030953,33.02,36.73,12.128245999999999
