"Wavelength","Global"
"405.0","1.15E+0"
"406.0","1.12E+0"
"407.0","1.10E+0"
"408.0","1.15E+0"
"409.0","1.23E+0"
"410.0","1.05E+0"
"411.0","1.17E+0"
"412.0","1.25E+0"
"413.0","1.20E+0"
"414.0","1.18E+0"
"415.0","1.23E+0"
"416.0","1.26E+0"
"417.0","1.23E+0"
"418.0","1.18E+0"
"419.0","1.23E+0"
"420.0","1.12E+0"
"421.0","1.28E+0"
"422.0","1.26E+0"
"423.0","1.22E+0"
"424.0","1.21E+0"
"425.0","1.25E+0"
"426.0","1.21E+0"
"427.0","1.17E+0"
"428.0","1.18E+0"
"429.0","1.10E+0"
"430.0","8.75E-1"
"431.0","7.94E-1"
"432.0","1.32E+0"
"433.0","1.23E+0"
"434.0","1.14E+0"
"435.0","1.25E+0"
"436.0","1.37E+0"
"437.0","1.39E+0"
"438.0","1.22E+0"
"439.0","1.18E+0"
"440.0","1.35E+0"
"441.0","1.33E+0"
"442.0","1.43E+0"
"443.0","1.45E+0"
"444.0","1.41E+0"
"445.0","1.46E+0"
"446.0","1.31E+0"
"447.0","1.49E+0"
"448.0","1.51E+0"
"449.0","1.50E+0"
"450.0","1.56E+0"
"451.0","1.62E+0"
"452.0","1.55E+0"
"453.0","1.43E+0"
"454.0","1.53E+0"
"455.0","1.52E+0"
"456.0","1.57E+0"
"457.0","1.59E+0"
"458.0","1.55E+0"
"459.0","1.54E+0"
"460.0","1.53E+0"
"461.0","1.58E+0"
"462.0","1.60E+0"
"463.0","1.60E+0"
"464.0","1.55E+0"
"465.0","1.53E+0"
"466.0","1.57E+0"
"467.0","1.50E+0"
"468.0","1.56E+0"
"469.0","1.57E+0"
"470.0","1.51E+0"
"471.0","1.53E+0"
"472.0","1.61E+0"
"473.0","1.55E+0"
"474.0","1.57E+0"
"475.0","1.62E+0"
"476.0","1.56E+0"
"477.0","1.57E+0"
"478.0","1.62E+0"
"479.0","1.59E+0"
"480.0","1.62E+0"
"481.0","1.62E+0"
"482.0","1.62E+0"
"483.0","1.60E+0"
"484.0","1.57E+0"
"485.0","1.57E+0"
"486.0","1.27E+0"
"487.0","1.42E+0"
"488.0","1.54E+0"
"489.0","1.45E+0"
"490.0","1.62E+0"
"491.0","1.56E+0"
"492.0","1.49E+0"
"493.0","1.59E+0"
"494.0","1.55E+0"
"495.0","1.65E+0"
"496.0","1.57E+0"
"497.0","1.59E+0"
"498.0","1.55E+0"
"499.0","1.55E+0"
"500.0","1.55E+0"
"501.0","1.50E+0"
"502.0","1.50E+0"
"503.0","1.57E+0"
"504.0","1.46E+0"
"505.0","1.56E+0"
"506.0","1.63E+0"
"507.0","1.56E+0"
"508.0","1.52E+0"
"509.0","1.59E+0"
"510.0","1.55E+0"
"511.0","1.58E+0"
"512.0","1.62E+0"
"513.0","1.52E+0"
"514.0","1.49E+0"
"515.0","1.53E+0"
"516.0","1.55E+0"
"517.0","1.26E+0"
"518.0","1.44E+0"
"519.0","1.40E+0"
"520.0","1.52E+0"
"521.0","1.53E+0"
"522.0","1.57E+0"
"523.0","1.48E+0"
"524.0","1.59E+0"
"525.0","1.58E+0"
"526.0","1.53E+0"
"527.0","1.34E+0"
"528.0","1.54E+0"
"529.0","1.61E+0"
"530.0","1.54E+0"
"531.0","1.63E+0"
"532.0","1.60E+0"
"533.0","1.43E+0"
"534.0","1.53E+0"
"535.0","1.55E+0"
"536.0","1.62E+0"
"537.0","1.50E+0"
"538.0","1.57E+0"
"539.0","1.54E+0"
"540.0","1.48E+0"
"541.0","1.43E+0"
"542.0","1.55E+0"
"543.0","1.53E+0"
"544.0","1.58E+0"
"545.0","1.54E+0"
"546.0","1.53E+0"
"547.0","1.55E+0"
"548.0","1.50E+0"
"549.0","1.55E+0"
"550.0","1.54E+0"
"551.0","1.54E+0"
"552.0","1.57E+0"
"553.0","1.52E+0"
"554.0","1.55E+0"
"555.0","1.56E+0"
"556.0","1.54E+0"
"557.0","1.50E+0"
"558.0","1.53E+0"
"559.0","1.45E+0"
"560.0","1.47E+0"
"561.0","1.56E+0"
"562.0","1.48E+0"
"563.0","1.54E+0"
"564.0","1.51E+0"
"565.0","1.52E+0"
"566.0","1.44E+0"
"567.0","1.53E+0"
"568.0","1.52E+0"
"569.0","1.48E+0"
"570.0","1.48E+0"
"571.0","1.43E+0"
"572.0","1.51E+0"
"573.0","1.52E+0"
"574.0","1.51E+0"
"575.0","1.48E+0"
"576.0","1.47E+0"
"577.0","1.50E+0"
"578.0","1.46E+0"
"579.0","1.48E+0"
"580.0","1.50E+0"
"581.0","1.51E+0"
"582.0","1.53E+0"
"583.0","1.55E+0"
"584.0","1.54E+0"
"585.0","1.53E+0"
"586.0","1.50E+0"
"587.0","1.53E+0"
"588.0","1.49E+0"
"589.0","1.29E+0"
"590.0","1.37E+0"
"591.0","1.47E+0"
"592.0","1.44E+0"
"593.0","1.46E+0"
"594.0","1.45E+0"
"595.0","1.43E+0"
"596.0","1.47E+0"
"597.0","1.48E+0"
"598.0","1.46E+0"
"599.0","1.46E+0"
"600.0","1.48E+0"
"601.0","1.46E+0"
"602.0","1.44E+0"
"603.0","1.47E+0"
"604.0","1.49E+0"
"605.0","1.49E+0"
"606.0","1.48E+0"
"607.0","1.49E+0"
"608.0","1.49E+0"
"609.0","1.47E+0"
"610.0","1.47E+0"
"611.0","1.46E+0"
"612.0","1.48E+0"
"613.0","1.46E+0"
"614.0","1.42E+0"
"615.0","1.47E+0"
"616.0","1.43E+0"
"617.0","1.41E+0"
"618.0","1.47E+0"
"619.0","1.47E+0"
"620.0","1.47E+0"
"621.0","1.48E+0"
"622.0","1.43E+0"
"623.0","1.42E+0"
"624.0","1.41E+0"
"625.0","1.40E+0"
"626.0","1.40E+0"
"627.0","1.44E+0"
"628.0","1.36E+0"
"629.0","1.41E+0"
"630.0","1.39E+0"
"631.0","1.42E+0"
"632.0","1.36E+0"
"633.0","1.45E+0"
"634.0","1.43E+0"
"635.0","1.45E+0"
"636.0","1.41E+0"
"637.0","1.46E+0"
"638.0","1.47E+0"
"639.0","1.46E+0"
"640.0","1.43E+0"
"641.0","1.43E+0"
"642.0","1.44E+0"
"643.0","1.45E+0"
